name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Yosemite Creek Trail,Yosemite National Park,Yosemite Valley,California,United States,9.9635,19312.08,436.7784,3,out and back,3.0,5.0,20,2043,6,749,92,58,37,-1.5438013871566076,-0.401204010721048,0.007927835735858549,0.5406284850500385,1
East Valley Floor Trail,Yosemite National Park,Yosemite Valley,California,United States,9.8856,9977.908,85.9536,1,loop,2.0,4.5,22,2043,6,749,92,94,65,-1.7252660683375183,0.6267430090678142,0.09168099249782227,-1.4699560667173048,1
Lembert Dome Trail,Yosemite National Park,Yosemite Valley,California,United States,9.7632,3862.416,221.8944,3,out and back,2.0,4.5,40,2043,6,749,92,66,48,-1.6199859988117666,-0.0007823304606670235,-0.17281557972410333,-0.06673621988203253,1
Clouds Rest Loop,Yosemite National Park,Yosemite Valley,California,United States,9.6678,30255.592,1515.7704,5,loop,2.0,4.5,20,2043,6,749,92,75,36,-1.0813081905185022,-1.2387651994800548,1.4199020758152845,0.5813393019193245,2
"Vernal, Nevada, and Illilouette Fall Route",Yosemite National Park,Yosemite Valley,California,United States,9.6358,18990.212,1290.828,5,out and back,2.0,4.5,15,2043,6,749,92,83,74,-1.09265111849465,-0.7434976321082409,1.7092968178178374,-0.6242703812540789,2
Bridalveil Falls from Southside Drive,Yosemite National Park,Yosemite Valley,California,United States,9.5661,1126.538,40.8432,1,out and back,2.0,4.5,44,2043,6,749,92,32,48,-1.7965083571461893,0.0009753476246095134,-1.340160917238355,0.2922580650477695,1
Pohnono Trail to Sentinel Dome Trail Loop,Yosemite National Park,Yosemite Valley,California,United States,9.5317,6115.492,262.7376,3,loop,2.0,4.5,15,2043,6,749,92,58,48,-1.572026292448536,-0.22301737213486744,-0.2949393156626817,0.06414822075383372,1
Pothole Dome Trail,Yosemite National Park,Yosemite Valley,California,United States,9.2057,1609.34,57.912,1,out and back,1.0,4.5,40,2043,6,749,92,56,37,-1.8294117680999717,0.198561341952852,-1.071023172178719,0.051492115395981995,1
Tuolumne River Loop: Dana and Lyell Forks,Yosemite National Park,Yosemite Valley,California,United States,9.1813,5793.624,55.7784,1,loop,,5.0,22,2043,6,749,92,64,49,-1.8110912213635775,0.33185706824583705,-0.6465196039784975,-0.32377923436763667,1
Panorama Trail,Yosemite National Park,Yosemite Valley,California,United States,9.1458,14484.06,687.9336,5,out and back,,5.0,61,2043,6,749,92,43,27,-1.4013561697372552,-0.8998828070359236,0.151643744698434,1.523510549899711,1
