trail_id,name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,dogs-no,forest,river,views,waterfall,wild-flowers,wildlife,partially-paved,lake,kids,historic-site,dogs-leash,ada,beach,cave,paved,strollers,hot-springs,city-walk,rails-trails_x,dogs,birding,camping,hiking,nature-trips,trail-running,walking,fishing,backpacking,sea-kayaking,canoeing,mountain-biking,horseback-riding,scenic-driving,road-biking,off-road-driving,rock-climbing,snowshoeing,cross-country-skiing,fly-fishing,paddle-sports,skiing,bike-touring,whitewater-kayaking,rails-trails_y,ice-climbing,surfing,snowboarding
10111405,Douglas Spring Trail,Saguaro National Park,Tucson,Arizona,United States,14.3478,26715.044,1139.952,3,out and back,4.5,95,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10286650,South Kaibab Trail to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,13.8468,21565.156,1496.8728,5,out and back,5.0,73,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10031336,Widforss Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,13.3343,14644.994,315.7728,3,out and back,4.5,100,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10031337,Transept Trail,Grand Canyon National Park,North Rim,Arizona,United States,12.6285,4667.086,85.9536,3,out and back,4.0,85,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10304469,Yavapai Point via Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,12.5954,2574.944,24.9936,1,out and back,4.5,52,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10273263,Bright Angel Trail: South Rim to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,12.4801,28968.12,1518.8184,5,out and back,5.0,39,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10000811,Cape Royal Trail,Grand Canyon National Park,North Rim,Arizona,United States,12.4222,1609.34,19.812,1,out and back,4.5,54,True,True,False,True,False,True,True,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,Grand Canyon National Park,North Rim,Arizona,United States,12.4044,31060.262,1666.9512,7,point to point,5.0,38,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10006953,Tanque Verde Ridge Trail,Saguaro National Park,Tucson,Arizona,United States,12.393,32186.8,1705.9656,7,out and back,4.5,108,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,Grand Canyon National Park,Grand Canyon,Arizona,United States,12.3532,9656.04,429.768,7,out and back,5.0,61,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10040243,North Kaibab Trail to Colorado River,Grand Canyon National Park,North Rim,Arizona,United States,12.302,45061.52,2092.7568,7,out and back,4.5,45,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10026822,Cape Final,Grand Canyon National Park,North Rim,Arizona,United States,12.0834,6437.36,150.876,1,out and back,4.5,76,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10242023,Mica View Loop Trail,Saguaro National Park,Tucson,Arizona,United States,11.8629,5954.558,36.8808,1,loop,4.0,111,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,Grand Canyon National Park,North Rim,Arizona,United States,11.8608,19151.146,592.836,5,out and back,5.0,27,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10004435,Hugh Norris Trail,Saguaro National Park,Tucson,Arizona,United States,11.8001,14323.126,729.996,3,out and back,4.5,103,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,Grand Canyon National Park,North Rim,Arizona,United States,11.7107,5954.558,425.8056,3,out and back,4.5,69,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10236026,Crystal Forest Trail,Petrified Forest National Park,Petrified Forest National Park,Arizona,United States,11.5545,1448.406,10.9728,1,loop,4.5,95,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,Grand Canyon National Park,Grand Canyon,Arizona,United States,11.1051,5471.756,528.828,3,out and back,4.5,39,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10257085,South Kaibab to North Kaibab to Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,11.0836,65822.006,3578.9616,7,point to point,5.0,37,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10236022,Painted Desert Rim Trail,Petrified Forest National Park,Chambers,Arizona,United States,10.9378,1770.274,11.8872,1,out and back,4.0,61,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10018269,Petrified Forest Scenic Drive,Petrified Forest National Park,Chambers,Arizona,United States,10.9165,46027.124,297.7896,3,point to point,4.5,52,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10265749,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,10.8324,27841.582,1748.9424,5,point to point,5.0,30,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10315767,South Kaibab Trail to Tip Off,Grand Canyon National Park,Grand Canyon,Arizona,United States,10.6545,14484.06,1004.9256,5,out and back,5.0,33,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10023828,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,Grand Canyon National Park,Cameron,Arizona,United States,10.3784,88513.7,1601.724,1,point to point,4.5,27,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
